schema,dbms,criterion,datagenerator,randomseed,merges
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,11,22
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,12,22
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,13,22
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,14,22
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,15,22
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,16,22
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,17,22
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,18,22
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,19,22
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,20,22
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,21,22
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,22,22
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,23,22
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,24,22
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,25,22
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,26,22
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,27,22
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,28,22
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,29,22
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,30,22
DellStore,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,1,51
DellStore,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,2,53
DellStore,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,3,66
DellStore,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,4,54
DellStore,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,5,69
DellStore,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,6,58
DellStore,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,7,64
DellStore,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,8,63
DellStore,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,9,63
DellStore,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,10,53
DellStore,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,11,66
DellStore,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,12,70
DellStore,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,13,63
DellStore,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,14,52
DellStore,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,15,52
DellStore,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,16,65
DellStore,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,17,79
DellStore,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,18,49
DellStore,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,19,68
DellStore,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,20,48
DellStore,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,21,63
DellStore,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,22,61
DellStore,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,23,64
DellStore,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,24,57
DellStore,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,25,51
DellStore,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,26,63
DellStore,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,27,51
DellStore,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,28,62
DellStore,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,29,68
DellStore,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,30,76
DellStore,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,1,91
DellStore,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,2,91
DellStore,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,3,91
DellStore,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,4,91
DellStore,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,5,91
DellStore,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,6,91
